meta_id,post_id,meta_key,meta_value
149,65,_wp_attachment_metadata,"a:7:{s:5:""width"";i:2560;s:6:""height"";i:1922;s:4:""file"";s:27:""2024/10/notebook-scaled.jpg"";s:8:""filesize"";i:288549;s:5:""sizes"";a:9:{s:6:""medium"";a:5:{s:4:""file"";s:20:""notebook-300x225.jpg"";s:5:""width"";i:300;s:6:""height"";i:225;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:12317;}s:5:""large"";a:5:{s:4:""file"";s:21:""notebook-1024x769.jpg"";s:5:""width"";i:1024;s:6:""height"";i:769;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:58524;}s:9:""thumbnail"";a:5:{s:4:""file"";s:20:""notebook-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:7169;}s:12:""medium_large"";a:5:{s:4:""file"";s:20:""notebook-768x577.jpg"";s:5:""width"";i:768;s:6:""height"";i:577;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:39195;}s:9:""1536x1536"";a:5:{s:4:""file"";s:22:""notebook-1536x1153.jpg"";s:5:""width"";i:1536;s:6:""height"";i:1153;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:107329;}s:9:""2048x2048"";a:5:{s:4:""file"";s:22:""notebook-2048x1538.jpg"";s:5:""width"";i:2048;s:6:""height"";i:1538;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:180033;}s:18:""professorLandscape"";a:5:{s:4:""file"";s:20:""notebook-400x260.jpg"";s:5:""width"";i:400;s:6:""height"";i:260;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:15871;}s:17:""professorPortrait"";a:5:{s:4:""file"";s:20:""notebook-480x650.jpg"";s:5:""width"";i:480;s:6:""height"";i:650;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:27183;}s:10:""pageBanner"";a:5:{s:4:""file"";s:21:""notebook-1500x350.jpg"";s:5:""width"";i:1500;s:6:""height"";i:350;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:35710;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}s:14:""original_image"";s:12:""notebook.jpg"";}"
150,15,page_banner,""
151,15,_page_banner,field_6727710fa259f
152,15,page_banner_background_image,65
153,15,_page_banner_background_image,field_6727711aa25a0
154,15,related_programs,""
155,15,_related_programs,field_672651f66d53c
156,66,_edit_lock,1731941510:1
157,66,_edit_last,1
158,66,page_banner,A Beautiful Campus In The Heart Of Downtown
159,66,_page_banner,field_6727710fa259f
160,66,page_banner_background_image,""
161,66,_page_banner_background_image,field_6727711aa25a0
162,67,_edit_lock,1731434077:1
163,67,_edit_last,1
164,67,page_banner,""
165,67,_page_banner,field_6727710fa259f
166,67,page_banner_background_image,""
167,67,_page_banner_background_image,field_6727711aa25a0
168,69,_edit_last,1
169,69,_edit_lock,1731946316:1
170,71,_edit_last,1
171,71,_edit_lock,1731946461:1
172,47,_edit_last,1
173,47,page_banner,""
174,47,_page_banner,field_6727710fa259f
175,47,page_banner_background_image,""
176,47,_page_banner_background_image,field_6727711aa25a0
177,47,related_campus,"a:1:{i:0;s:2:""67"";}"
178,47,_related_campus,field_673b67e179701
179,46,_edit_last,1
180,46,page_banner,""
181,46,_page_banner,field_6727710fa259f
182,46,page_banner_background_image,""
183,46,_page_banner_background_image,field_6727711aa25a0
184,46,related_campus,"a:1:{i:0;s:2:""66"";}"
185,46,_related_campus,field_673b67e179701
186,45,_edit_last,1
187,45,page_banner,""
188,45,_page_banner,field_6727710fa259f
189,45,page_banner_background_image,""
190,45,_page_banner_background_image,field_6727711aa25a0
191,45,related_campus,"a:2:{i:0;s:2:""67"";i:1;s:2:""66"";}"
192,45,_related_campus,field_673b67e179701
193,44,page_banner,""
194,44,_page_banner,field_6727710fa259f
195,44,page_banner_background_image,""
196,44,_page_banner_background_image,field_6727711aa25a0
197,44,related_programs,""
198,44,_related_programs,field_672651f66d53c
199,21,page_banner,""
200,21,_page_banner,field_6727710fa259f
201,21,page_banner_background_image,""
202,21,_page_banner_background_image,field_6727711aa25a0
203,21,related_programs,""
204,21,_related_programs,field_672651f66d53c
205,77,_edit_lock,1737230490:1
209,77,_edit_last,1
210,77,_pingme,1
211,77,page_banner,""
212,77,_page_banner,field_6727710fa259f
213,77,page_banner_background_image,""
214,77,_page_banner_background_image,field_6727711aa25a0
215,79,page_banner,""
216,79,_page_banner,field_6727710fa259f
217,79,page_banner_background_image,""
218,79,_page_banner_background_image,field_6727711aa25a0
